name,website,phone,address,price_range,rating,review_count,category,description,price_range,days,hours,menu,facebook,youtube,twitter,instagram,status,directions
A & B Tree Services,http://www.aandbtreeservice.com/,+1 920-419-1007,"1118 W Wisconsin Ave, Appleton, WI 54914, United States",,5.0,6,"Tree service in Appleton, Wisconsin",,,,,,,,,,,/maps/dir//ALL+TRIM+APPLETON+WI/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8803b71fb24f2791:0xb08ff756a7b6327b?sa=X
Petco Grooming,https://stores.petco.com/wi/appleton/full-service-grooming-appleton-wi-1656.html?cm_mmc=GMAPSPET-_-GGL-_-SVC-_-GRM-_-PET-_-MUL-_-Wisconsin-_-Appleton-_-1656,+1 920-997-1543,"3829 E Calumet St #100, Appleton, WI 54915, United States",$$,4.7,29,"Pet groomer in Appleton, Wisconsin",,$$,,9AM–6PM 9AM–6PM 9AM–6PM 9AM–6PM 9AM–6PM 9AM–6PM 9AM–6PM ,,,,,,,/maps/dir//ALL+TRIM+APPLETON+WI/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8803b073faafa405:0xbbc344e16b190000?sa=X
The Barber Lounge,https://www.vagaro.com/thebarberloungewi,,"314 W Wisconsin Ave suite c, Appleton, WI 54911, United States",,5.0,24,"Barber shop in Appleton, Wisconsin",,,,10AM–6PM 10AM–6PM Closed 10AM–6PM 10AM–6PM Closed Closed ,,https://www.facebook.com/thebarberloungewi/,,,,,/maps/dir//ALL+TRIM+APPLETON+WI/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8803b7d5eacfe8f1:0x2efe13de9e8af60b?sa=X
Shear Chaos Hair Parlour,http://shearchaos.net/,+1 920-733-4247,"111 S Appleton St, Appleton, WI 54911, United States",,4.7,84,"Hair salon in Appleton, Wisconsin",,,,,,https://www.facebook.com/shearchaoswi/,,https://twitter.com/shearchaosalon,https://www.instagram.com/shearchaoshairparlour/,,/maps/dir//ALL+TRIM+APPLETON+WI/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8803b6b8c0fcbb87:0x6523bab92a9b6445?sa=X
Consciously Fresh Tree Service,http://consciouslyfreshtreeservice.com/,+1 920-268-6622,"1923 N Clark St, Appleton, WI 54911, United States",,5.0,5,"Tree service in Appleton, Wisconsin",,,,,,,,,,,/maps/dir//ALL+TRIM+APPLETON+WI/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8803b6d0c9b0b661:0xa6b036e3a98a0881?sa=X
Greasy Fingers Barber/Spa/Salon,,+1 920-570-9475,"1814 W Wisconsin Ave, Appleton, WI 54914, United States",,4.9,116,"Barber shop in Appleton, Wisconsin",,,,8:30AM–7PM 6:30AM–7PM 6:30AM–7PM 8:30AM–7PM 9AM–7PM 9AM–3PM 10AM–2PM ,,https://www.facebook.com/greasyfingersbarbers/,,,,,/maps/dir//ALL+TRIM+APPLETON+WI/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8803b70246109fdd:0xc047ca93cc169299?sa=X
Reynebeau Upholstery,http://www.reynebeau.com/,+1 920-734-1086,"333 W Wisconsin Ave #4302, Appleton, WI 54911, United States",,4.1,8,"Auto upholsterer in Appleton, Wisconsin",,,,8AM–5PM 8AM–5PM 8AM–5PM 8AM–5PM 8AM–5PM Closed Closed ,,,,,,,/maps/dir//ALL+TRIM+APPLETON+WI/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8803b72860a69d65:0xc76d4bdfa7e5adc4?sa=X
Men's Hair House,http://menshairhouse.com/,+1 920-882-8300,"W3169 Van Roy Rd, Appleton, WI 54915, United States",,4.1,98,Barber shop in Wisconsin,,,,,,,,,,,/maps/dir//ALL+TRIM+APPLETON+WI/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8803b041a00b224f:0xf125934ef427fcb4?sa=X
Automotive Top & Trim,http://www.automotivetopandtrim.com/,+1 920-725-9949,"706 Main St, Neenah, WI 54956, United States",,,,"Auto upholsterer in Neenah, Wisconsin",,,,,,,,,,,/maps/dir//ALL+TRIM+APPLETON+WI/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8803b89d17cb71f3:0xf588e2612e3d0131?sa=X
Assorted Trim & Door,http://assortedtrimanddoors.com/,+1 920-405-0786,,,3.4,5,Door supplier,,,,7AM–5PM 7AM–5PM 7AM–5PM 7AM–5PM 7AM–3PM Closed Closed ,,,,,,,
Appleton Supply Co Inc,http://www.appletonsupply.com/,+1 800-558-3414,"1905 W Haskel St, Appleton, WI 54914, United States",,5.0,1,"Manufacturer in Appleton, Wisconsin",,,,,,,,,,,/maps/dir//ALL+TRIM+APPLETON+WI/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8803b7745d53cde9:0x4d32bbc1dc86db6d?sa=X
Schiller's Tree Service,http://www.schillerstreeservice.com/,+1 920-739-7547,,,4.5,8,Lawn care service,,,,,,,,,,,
The Salon Professional Academy Appleton,http://tspaappleton.com/,+1 920-968-0433,"3355 W College Ave, Appleton, WI 54914, United States",,4.5,129,Beauty school in Wisconsin,,,,9AM–9PM 9AM–9PM 9AM–9PM 9AM–9PM 9AM–5PM 9AM–4PM Closed ,,https://www.facebook.com/TspaAppleton/,,,,,/maps/dir//ALL+TRIM+APPLETON+WI/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8803b7bf23fdf715:0x80d67e169c887514?sa=X
Bergstrom Chevrolet Service,http://www.bergstromappletonchevy.com/,+1 877-242-3442,"2245 W College Ave, Appleton, WI 54914, United States",,3.7,13,"Auto repair shop in Appleton, Wisconsin",,,,7AM–6PM 7AM–6PM 7AM–8PM 7AM–6PM 7AM–6PM 8AM–5PM Closed ,,,,,,,/maps/dir//ALL+TRIM+APPLETON+WI/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8803b70a32b6309d:0x893a311899ad2af0?sa=X
Red Barn Family Farms,http://www.redbarnfamilyfarms.com/,,"W3933 Highview Dr, Appleton, WI 54913, United States",,5.0,1,Cheese manufacturer,,,,,,https://www.facebook.com/RedBarnFamilyFarms/,,,,,/maps/dir//ALL+TRIM+APPLETON+WI/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8803b3b98f0002f3:0x8ace686f67e8b7ce?sa=X
